N,seed,q_bits,domain_min,domain_max,bucket_width,rounds,nominal_dir,nominal_fpir,cap_dir,cap_fpir,cap_threshold_bucket
64,0,3,-2038,3338,1,13,0.9125,0.01,0.9125,0.01,2345
64,0,3,-2038,3338,2,12,0.9125,0.01,0.9125,0.01,1172
64,0,3,-2038,3338,4,11,0.9125,0.0105,0.9125,0.0095,585
64,0,3,-2038,3338,6,10,0.9125,0.01,0.9125,0.01,390
64,0,3,-2038,3338,8,10,0.9125,0.013,0.9125,0.0095,292
64,0,3,-2038,3338,11,9,0.9125,0.0135,0.9125,0.0095,212
64,0,3,-2038,3338,16,9,0.9125,0.013,0.9125,0.0075,145
64,0,3,-2038,3338,22,8,0.9125,0.0135,0.9125,0.007,105
64,0,3,-2038,3338,32,8,0.9125,0.0205,0.9125,0.0075,72
64,1,3,-2024,3352,1,13,0.940625,0.01,0.940625,0.01,2346
64,1,3,-2024,3352,2,12,0.940625,0.011,0.940625,0.0095,1172
64,1,3,-2024,3352,4,11,0.940625,0.011,0.940625,0.0085,585
64,1,3,-2024,3352,6,10,0.940625,0.0125,0.940625,0.0095,390
64,1,3,-2024,3352,8,10,0.940625,0.0125,0.940625,0.0085,292
64,1,3,-2024,3352,11,9,0.940625,0.013,0.940625,0.008,212
64,1,3,-2024,3352,16,9,0.940625,0.0125,0.9375,0.0045,145
64,1,3,-2024,3352,22,8,0.940625,0.013,0.9375,0.0035,105
64,1,3,-2024,3352,32,8,0.940625,0.025,0.9375,0.0045,72
64,2,3,-2016,3336,1,13,0.909375,0.01,0.909375,0.01,2335
64,2,3,-2016,3336,2,12,0.909375,0.01,0.909375,0.01,1167
64,2,3,-2016,3336,4,11,0.909375,0.01,0.909375,0.01,583
64,2,3,-2016,3336,6,10,0.909375,0.013,0.909375,0.0085,388
64,2,3,-2016,3336,8,10,0.909375,0.01,0.909375,0.01,291
64,2,3,-2016,3336,11,9,0.909375,0.016,0.909375,0.0075,211
64,2,3,-2016,3336,16,9,0.909375,0.01,0.909375,0.01,145
64,2,3,-2016,3336,22,8,0.909375,0.0205,0.909375,0.0075,105
64,2,3,-2016,3336,32,8,0.909375,0.01,0.909375,0.01,72
64,3,3,-2039,3352,1,13,0.9625,0.011,0.9625,0.0095,2341
64,3,3,-2039,3352,2,12,0.9625,0.011,0.9625,0.0095,1170
64,3,3,-2039,3352,4,11,0.9625,0.011,0.9625,0.0085,584
64,3,3,-2039,3352,6,10,0.9625,0.011,0.9625,0.0085,389
64,3,3,-2039,3352,8,10,0.9625,0.011,0.9625,0.0075,291
64,3,3,-2039,3352,11,9,0.9625,0.0135,0.9625,0.0095,212
