N,seed,bit_tenuti,bit_totali,bit_signed,shift,dir,fpir_eff,dir_float
64,0,13,13,14,0,0.9125,0.01,0.9125
64,0,12,13,14,1,0.9125,0.01,0.9125
64,0,11,13,14,2,0.9125,0.01,0.9125
64,0,10,13,14,3,0.9125,0.01,0.9125
64,0,9,13,14,4,0.9125,0.01,0.9125
64,0,8,13,14,5,0.9125,0.0105,0.9125
64,0,7,13,14,6,0.9125,0.0105,0.9125
64,0,6,13,14,7,0.9125,0.0105,0.9125
64,0,5,13,14,8,0.915625,0.0275,0.9125
64,0,4,13,14,9,0.921875,0.0985,0.9125
64,1,13,13,14,0,0.940625,0.01,0.940625
64,1,12,13,14,1,0.940625,0.01,0.940625
64,1,11,13,14,2,0.940625,0.01,0.940625
64,1,10,13,14,3,0.940625,0.01,0.940625
64,1,9,13,14,4,0.940625,0.01,0.940625
64,1,8,13,14,5,0.940625,0.01,0.940625
64,1,7,13,14,6,0.940625,0.0125,0.940625
64,1,6,13,14,7,0.940625,0.0125,0.940625
64,1,5,13,14,8,0.940625,0.0125,0.940625
64,1,4,13,14,9,0.94375,0.0675,0.940625
64,2,13,13,14,0,0.9125,0.01,0.9125
64,2,12,13,14,1,0.9125,0.01,0.9125
64,2,11,13,14,2,0.9125,0.01,0.9125
64,2,10,13,14,3,0.9125,0.0105,0.9125
64,2,9,13,14,4,0.9125,0.0105,0.9125
64,2,8,13,14,5,0.9125,0.013,0.9125
64,2,7,13,14,6,0.9125,0.013,0.9125
64,2,6,13,14,7,0.9125,0.013,0.9125
64,2,5,13,14,8,0.9125,0.03,0.9125
64,2,4,13,14,9,0.91875,0.133,0.9125
64,3,13,13,14,0,0.9625,0.01,0.9625
64,3,12,13,14,1,0.9625,0.01,0.9625
64,3,11,13,14,2,0.9625,0.01,0.9625
64,3,10,13,14,3,0.9625,0.01,0.9625
64,3,9,13,14,4,0.9625,0.011,0.9625
64,3,8,13,14,5,0.9625,0.013,0.9625
64,3,7,13,14,6,0.9625,0.013,0.9625
64,3,6,13,14,7,0.9625,0.0165,0.9625
64,3,5,13,14,8,0.9625,0.03,0.9625
64,3,4,13,14,9,0.9625,0.03,0.9625
64,4,13,13,14,0,0.903125,0.01,0.90625
64,4,12,13,14,1,0.903125,0.01,0.90625
64,4,11,13,14,2,0.903125,0.01,0.90625
64,4,10,13,14,3,0.903125,0.01,0.90625
64,4,9,13,14,4,0.903125,0.011,0.90625
64,4,8,13,14,5,0.903125,0.0115,0.90625
64,4,7,13,14,6,0.90625,0.015,0.90625
64,4,6,13,14,7,0.90625,0.015,0.90625
64,4,5,13,14,8,0.90625,0.015,0.90625
64,4,4,13,14,9,0.90625,0.015,0.90625
64,5,13,13,14,0,0.959375,0.01,0.959375
