thread rayon: 16

    param |   N |    seq-F32 |       seq |    torneo |  +soglia | esito
   def/u8 |   8 |      0.82s |     0.61s |     0.36s |   0.029s | OK
   def/u8 |  16 |      1.73s |     1.30s |     0.65s |   0.029s | OK
   def/u8 |  32 |      3.57s |     2.76s |     1.23s |   0.029s | OK
   def/u8 |  64 |      7.36s |     5.50s |     2.32s |   0.028s | OK
   def/u8 | 128 |     14.57s |    10.81s |     4.69s |   0.029s | OK
  def/u16 |   8 |      1.12s |     0.82s |     0.57s |   0.029s | OK
  def/u16 |  16 |      2.48s |     1.79s |     1.11s |   0.029s | OK
  def/u16 |  32 |      5.21s |     3.85s |     2.39s |   0.028s | OK
  def/u16 |  64 |     10.23s |     7.65s |     4.55s |   0.028s | OK
  def/u16 | 128 |     20.78s |    14.98s |     9.07s |   0.029s | OK
   mb3/u8 |   8 |      0.45s |     0.36s |     0.26s |   0.012s | OK
   mb3/u8 |  16 |      1.03s |     0.76s |     0.58s |   0.013s | OK
   mb3/u8 |  32 |      2.10s |     1.65s |     1.21s |   0.012s | OK
   mb3/u8 |  64 |      4.16s |     3.33s |     2.38s |   0.012s | OK
   mb3/u8 | 128 |      8.27s |     6.59s |     4.84s |   0.012s | OK
  mb3/u16 |   8 |      0.77s |     0.59s |     0.49s |   0.012s | OK
  mb3/u16 |  16 |      1.62s |     1.28s |     1.05s |   0.013s | OK
  mb3/u16 |  32 |      3.29s |     2.53s |     2.07s |   0.013s | OK
  mb3/u16 |  64 |      6.65s |     5.34s |     4.56s |   0.013s | OK
  mb3/u16 | 128 |     14.88s |    11.56s |     9.86s |   0.013s | OK
