poly,n,dg,df,N,t_distanze,t_soglia,banda_lo,banda_hi,err_punteggi,keygen_s,discrepanze,confronti
16384,1,2,1,8,0.1167,0.049,-293,294,0.0177,1.01,0,4096
16384,1,2,1,16,0.1164,0.048,-293,294,0.1354,1.01,0,4096
16384,1,2,1,32,0.2331,0.046,-293,294,0.1354,1.01,0,4096
16384,1,2,1,64,0.4825,0.048,-293,294,0.1354,1.01,0,4096
16384,1,2,1,128,0.9629,0.048,-293,294,0.1354,1.01,0,4096
32768,1,4,1,8,0.4453,0.267,-67,68,0.0036,2.91,0,4096
32768,1,4,1,16,0.4418,0.267,-67,68,0.0273,2.91,0,4096
32768,1,4,1,32,0.443,0.265,-67,68,0.0273,2.91,0,4096
32768,1,4,1,64,0.9255,0.265,-67,68,0.0273,2.91,0,4096
32768,1,4,1,128,1.8771,0.265,-67,68,0.0273,2.91,0,4096
32768,1,6,2,8,0.8873,0.743,-10,11,0.0036,5.8,0,4096
32768,1,6,2,16,0.861,0.737,-10,11,0.0273,5.8,0,4096
32768,1,6,2,32,0.8624,0.736,-10,11,0.0273,5.8,0,4096
32768,1,6,2,64,1.7777,0.737,-10,11,0.0273,5.8,0,4096
32768,1,6,2,128,3.5376,0.711,-10,11,0.0273,5.8,0,4096
32768,3,3,1,8,0.8263,1.005,-9,10,0.0036,5.19,0,4096
32768,3,3,1,16,0.8293,1.002,-9,10,0.0273,5.19,0,4096
32768,3,3,1,32,0.8217,0.998,-9,10,0.0273,5.19,0,4096
32768,3,3,1,64,1.7205,1.003,-9,10,0.0273,5.19,0,4096
32768,3,3,1,128,3.4573,0.981,-9,10,0.0273,5.19,0,4096
