scene,name,repetition,new_token,reference_token,new_ns,reference_ns,campaign,comparison,new_high_load,new_unknown_load,reference_high_load,reference_unknown_load
12,aligned_last_128_-1,2,measured/2/12/2/dag_ready,measured/2/12/0/qualified_parent,1818828542,1738111084,initial,dag_ready/qualified_parent,,,,
12,aligned_last_128_-1,3,measured/3/12/1/dag_ready,measured/3/12/0/qualified_parent,1927165083,1867638625,initial,dag_ready/qualified_parent,,,,
12,aligned_last_128_-1,4,measured/4/12/2/dag_ready,measured/4/12/1/qualified_parent,1905767417,1850627292,initial,dag_ready/qualified_parent,,,,
12,aligned_last_128_-1,5,measured/5/12/1/dag_ready,measured/5/12/2/qualified_parent,1827152167,1754735083,initial,dag_ready/qualified_parent,,,,
12,aligned_last_128_-1,6,measured/6/12/0/dag_ready,measured/6/12/1/qualified_parent,1801638416,1735501000,initial,dag_ready/qualified_parent,,,,
12,aligned_last_128_-1,7,measured/7/12/0/dag_ready,measured/7/12/2/qualified_parent,1805137542,1787993042,initial,dag_ready/qualified_parent,,,,
13,general_last_128_273,2,measured/2/13/2/dag_ready,measured/2/13/0/qualified_parent,1821249166,1760855958,initial,dag_ready/qualified_parent,,,,
13,general_last_128_273,3,measured/3/13/1/dag_ready,measured/3/13/0/qualified_parent,1936343708,1809169125,initial,dag_ready/qualified_parent,,,,
13,general_last_128_273,4,measured/4/13/2/dag_ready,measured/4/13/1/qualified_parent,1902244541,1858572958,initial,dag_ready/qualified_parent,,,,
13,general_last_128_273,5,measured/5/13/1/dag_ready,measured/5/13/2/qualified_parent,1814590584,1746908916,initial,dag_ready/qualified_parent,,,,
13,general_last_128_273,6,measured/6/13/0/dag_ready,measured/6/13/1/qualified_parent,1790513292,1745428959,initial,dag_ready/qualified_parent,,,,
13,general_last_128_273,7,measured/7/13/0/dag_ready,measured/7/13/2/qualified_parent,1926181459,1831319334,initial,dag_ready/qualified_parent,,,,
14,mixed_last_128_273,2,measured/2/14/2/dag_ready,measured/2/14/0/qualified_parent,1832204250,1719954500,initial,dag_ready/qualified_parent,,,,
14,mixed_last_128_273,3,measured/3/14/1/dag_ready,measured/3/14/0/qualified_parent,1841864417,1772912959,initial,dag_ready/qualified_parent,,,,
14,mixed_last_128_273,4,measured/4/14/2/dag_ready,measured/4/14/1/qualified_parent,1888959000,1848972833,initial,dag_ready/qualified_parent,,,,
14,mixed_last_128_273,5,measured/5/14/1/dag_ready,measured/5/14/2/qualified_parent,1804775625,1740514916,initial,dag_ready/qualified_parent,,,,
14,mixed_last_128_273,6,measured/6/14/0/dag_ready,measured/6/14/1/qualified_parent,1821832084,1752737166,initial,dag_ready/qualified_parent,,,,
