block,n,category,tfhe_key,ckks_seconds,tfhe_before_seconds,tfhe_after_seconds,tfhe_reference_seconds,ckks_over_tfhe_ratio,tfhe_after_over_before_drift
1,64,aligned,1,3.144882416,1.495348875,1.458532042,1.4769404585,2.129322409648107,0.9753791014153805
1,64,general,1,3.224070917,1.466086083,1.516816042,1.4914510625,2.161700774543516,1.0346023058183549
1,64,mixed,1,3.166506666,1.5965785,1.600383,1.5984807499999998,1.980947637936835,1.0023829082002544
1,128,aligned,1,3.397948792,2.587374166,2.651705708,2.619539937,1.297154795773591,1.0248636408469112
1,128,general,1,3.41090025,2.639153667,2.568610084,2.6038818755,1.3099289495784197,0.9732703768325135
1,128,mixed,1,3.381492834,2.763005625,2.781395875,2.7722007499999997,1.2197864220331087,1.0066558858344705
2,64,aligned,2,3.050888667,1.463360958,1.362695958,1.4130284579999999,2.159113392038988,0.9312097268622087
2,64,general,2,3.085726833,1.529534458,1.351117416,1.440325937,2.142380938738868,0.8833520611014569
2,64,mixed,2,3.094090541,1.622028375,1.469888208,1.5459582914999999,2.001406220343688,0.906203757378782
2,128,aligned,2,3.337283667,2.624087667,2.787037792,2.7055627295,1.233489665795605,1.0620978205298657
2,128,general,2,3.418063083,2.653214208,2.645364583,2.6492893955000003,1.2901810911279887,0.9970414657903114
2,128,mixed,2,3.288090916,2.8366155,3.039397667,2.9380065835,1.119157095993621,1.0714873647838417
3,64,aligned,1,3.021380625,1.375098708,1.417144625,1.3961216665,2.164124157298149,1.0305766537015757
3,64,general,1,3.013617083,1.403483875,1.382007541,1.392745708,2.16379563454379,0.9846978405790375
3,64,mixed,1,3.019103584,1.516603208,1.534004958,1.525304083,1.9793453762098137,1.0114741614076816
3,128,aligned,1,3.256754875,2.348341792,2.34842825,2.348385021,1.3868061863268033,1.0000368166168547
3,128,general,1,3.284218084,2.332512708,2.381222291,2.3568674995,1.3934674243234861,1.020882880008729
3,128,mixed,1,3.2687765,2.524397167,2.579642292,2.5520197295,1.280858632170696,1.021884482252709
