job,block,n,category,arm,tfhe_key,sequence,phase,expected_id,query_seconds,decoded_id,input_index,absolute_error,max_other_slots,decryption_seconds,encryption_seconds,stage_score_seconds,stage_layout_seconds,stage_comparison_seconds,stage_product_seconds,stage_output_seconds
01-block1-n64-tfhe-before,1,64,aligned,tfhe-before,1,0,warmup,64,1.424317917,64,9,,,,,,,,,
01-block1-n64-tfhe-before,1,64,general,tfhe-before,1,1,warmup,64,1.510425792,64,15,,,,,,,,,
01-block1-n64-tfhe-before,1,64,mixed,tfhe-before,1,2,warmup,64,1.560227375,64,21,,,,,,,,,
01-block1-n64-tfhe-before,1,64,aligned,tfhe-before,1,3,measured,64,1.495348875,64,11,,,,,,,,,
01-block1-n64-tfhe-before,1,64,general,tfhe-before,1,4,measured,64,1.520751417,64,17,,,,,,,,,
01-block1-n64-tfhe-before,1,64,mixed,tfhe-before,1,5,measured,64,1.5965785,64,23,,,,,,,,,
01-block1-n64-tfhe-before,1,64,aligned,tfhe-before,1,6,measured,64,1.4270345,64,12,,,,,,,,,
01-block1-n64-tfhe-before,1,64,general,tfhe-before,1,7,measured,64,1.45024725,64,18,,,,,,,,,
01-block1-n64-tfhe-before,1,64,mixed,tfhe-before,1,8,measured,64,1.57972325,64,24,,,,,,,,,
01-block1-n64-tfhe-before,1,64,aligned,tfhe-before,1,9,measured,64,1.525129375,64,13,,,,,,,,,
01-block1-n64-tfhe-before,1,64,general,tfhe-before,1,10,measured,64,1.466086083,64,19,,,,,,,,,
01-block1-n64-tfhe-before,1,64,mixed,tfhe-before,1,11,measured,64,1.733946833,64,25,,,,,,,,,
02-block1-n64-ckks,1,64,aligned,ckks,1,0,warmup,64,3.250344042,64,,0.0013098064779200058,8.382158041918818e-06,0.008517291,0.086783125,0.71551275,0.876774084,1.468552833,0.11175125,0.077750208
02-block1-n64-ckks,1,64,general,ckks,1,1,warmup,64,3.226275167,64,,0.0005422686676155308,2.3194743108526518e-05,0.007916875,0.078761375,0.714620792,0.844453792,1.47273825,0.1117135,0.082748375
02-block1-n64-ckks,1,64,mixed,ckks,1,2,warmup,64,3.155178125,64,,4.7927770765454625e-06,5.666975362362246e-06,0.0078755,0.079002209,0.668861625,0.844242875,1.454321084,0.110753083,0.076999167
02-block1-n64-ckks,1,64,aligned,ckks,1,3,measured,64,3.199587625,64,,0.0002295702993748705,1.4539995556709383e-05,0.008417125,0.078958833,0.731910291,0.842629042,1.437878916,0.110479334,0.076689833
02-block1-n64-ckks,1,64,general,ckks,1,4,measured,64,3.190542416,64,,0.0009598670307866541,2.4580087986500977e-05,0.007332125,0.07758725,0.68555175,0.84381,1.473437875,0.111207583,0.076534834
02-block1-n64-ckks,1,64,mixed,ckks,1,5,measured,64,3.167308125,64,,0.0005191015403767096,1.1631117907226464e-05,0.00787825,0.078406083,0.666715708,0.844179333,1.470874292,0.110123166,0.075415458
02-block1-n64-ckks,1,64,aligned,ckks,1,6,measured,64,3.124235708,64,,0.00017721246271662494,4.42333549701348e-06,0.00762325,0.078794375,0.663535583,0.840460666,1.433735334,0.110242917,0.076260959
02-block1-n64-ckks,1,64,general,ckks,1,7,measured,64,3.224070917,64,,0.0002846621372327718,4.042330671277066e-05,0.0065965,0.07914275,0.663820917,0.850653334,1.515899459,0.1148105,0.078886542
02-block1-n64-ckks,1,64,mixed,ckks,1,8,measured,64,3.166506666,64,,0.0010047446623673295,9.101591229987975e-06,0.008120583,0.078749625,0.672741041,0.843227875,1.461156375,0.112416875,0.076963917
02-block1-n64-ckks,1,64,aligned,ckks,1,9,measured,64,3.144882416,64,,0.00018989527140433893,1.5429461060713833e-05,0.007876167,0.077648,0.665181291,0.840767959,1.451225875,0.111388,0.076318834
02-block1-n64-ckks,1,64,general,ckks,1,10,measured,64,3.224650416,64,,0.0013692197793915284,1.6543711739252267e-06,0.006616708,0.078110792,0.665257208,0.859807708,1.508681042,0.112315667,0.078588666
02-block1-n64-ckks,1,64,mixed,ckks,1,11,measured,64,3.155223625,64,,0.0010397549624485691,5.820715200446116e-06,0.007214083,0.077026958,0.659713709,0.840215167,1.462426125,0.11406475,0.078803583
03-block1-n64-tfhe-after,1,64,aligned,tfhe-after,1,0,warmup,64,1.424770375,64,9,,,,,,,,,
03-block1-n64-tfhe-after,1,64,general,tfhe-after,1,1,warmup,64,1.413494208,64,15,,,,,,,,,
03-block1-n64-tfhe-after,1,64,mixed,tfhe-after,1,2,warmup,64,1.517009292,64,21,,,,,,,,,
03-block1-n64-tfhe-after,1,64,aligned,tfhe-after,1,3,measured,64,1.419744791,64,11,,,,,,,,,
03-block1-n64-tfhe-after,1,64,general,tfhe-after,1,4,measured,64,1.410948167,64,17,,,,,,,,,
03-block1-n64-tfhe-after,1,64,mixed,tfhe-after,1,5,measured,64,1.532310292,64,23,,,,,,,,,
03-block1-n64-tfhe-after,1,64,aligned,tfhe-after,1,6,measured,64,1.528629917,64,12,,,,,,,,,
03-block1-n64-tfhe-after,1,64,general,tfhe-after,1,7,measured,64,1.516816042,64,18,,,,,,,,,
03-block1-n64-tfhe-after,1,64,mixed,tfhe-after,1,8,measured,64,1.600383,64,24,,,,,,,,,
03-block1-n64-tfhe-after,1,64,aligned,tfhe-after,1,9,measured,64,1.458532042,64,13,,,,,,,,,
03-block1-n64-tfhe-after,1,64,general,tfhe-after,1,10,measured,64,1.605112208,64,19,,,,,,,,,
03-block1-n64-tfhe-after,1,64,mixed,tfhe-after,1,11,measured,64,1.706128375,64,25,,,,,,,,,
04-block1-n128-tfhe-before,1,128,mixed,tfhe-before,1,0,warmup,128,2.814046541,128,39,,,,,,,,,
04-block1-n128-tfhe-before,1,128,general,tfhe-before,1,1,warmup,128,2.652244209,128,33,,,,,,,,,
04-block1-n128-tfhe-before,1,128,aligned,tfhe-before,1,2,warmup,128,2.66272625,128,27,,,,,,,,,
04-block1-n128-tfhe-before,1,128,mixed,tfhe-before,1,3,measured,128,2.789311375,128,41,,,,,,,,,
04-block1-n128-tfhe-before,1,128,general,tfhe-before,1,4,measured,128,2.648641292,128,35,,,,,,,,,
04-block1-n128-tfhe-before,1,128,aligned,tfhe-before,1,5,measured,128,2.538346209,128,29,,,,,,,,,
04-block1-n128-tfhe-before,1,128,mixed,tfhe-before,1,6,measured,128,2.717125834,128,42,,,,,,,,,
04-block1-n128-tfhe-before,1,128,general,tfhe-before,1,7,measured,128,2.528561584,128,36,,,,,,,,,
04-block1-n128-tfhe-before,1,128,aligned,tfhe-before,1,8,measured,128,2.587374166,128,30,,,,,,,,,
04-block1-n128-tfhe-before,1,128,mixed,tfhe-before,1,9,measured,128,2.763005625,128,43,,,,,,,,,
04-block1-n128-tfhe-before,1,128,general,tfhe-before,1,10,measured,128,2.639153667,128,37,,,,,,,,,
04-block1-n128-tfhe-before,1,128,aligned,tfhe-before,1,11,measured,128,2.611328542,128,31,,,,,,,,,
05-block1-n128-ckks,1,128,mixed,ckks,1,0,warmup,128,3.348907917,128,,0.003472496509289158,2.4799068853329604e-05,0.009379084,0.089974125,0.548078792,1.037474292,1.537238709,0.136724125,0.089391709
05-block1-n128-ckks,1,128,general,ckks,1,1,warmup,128,3.306537375,128,,0.001055909562367674,1.4974627400332482e-05,0.009958583,0.081720916,0.53194475,1.025422875,1.523065917,0.136161208,0.08994225
05-block1-n128-ckks,1,128,aligned,ckks,1,2,warmup,128,3.297670542,128,,0.0025463854104827988,6.358245157972038e-05,0.009681959,0.080129417,0.525638625,1.017512291,1.526986583,0.138525625,0.089006917
05-block1-n128-ckks,1,128,mixed,ckks,1,3,measured,128,3.354128208,128,,0.003227545979456181,5.611936111889135e-05,0.00971575,0.080159875,0.529459708,1.038165917,1.555823792,0.137095708,0.093582833
05-block1-n128-ckks,1,128,general,ckks,1,4,measured,128,3.41090025,128,,0.0012672666410935562,6.203674629968745e-05,0.011958875,0.080610709,0.538233333,1.033449416,1.6145735,0.136951,0.087692625
05-block1-n128-ckks,1,128,aligned,ckks,1,5,measured,128,3.397948792,128,,0.0026170395427129733,1.507022825194829e-05,0.009401458,0.084469208,0.548883333,1.069491125,1.550508833,0.135475708,0.09358925
05-block1-n128-ckks,1,128,mixed,ckks,1,6,measured,128,3.381492834,128,,0.0021136238124199735,1.9952939664299585e-05,0.008246792,0.0828125,0.528753834,1.085422583,1.541597625,0.136574166,0.089144042
05-block1-n128-ckks,1,128,general,ckks,1,7,measured,128,3.355439166,128,,0.0010879877443699115,1.688364644582182e-05,0.009652125,0.081944542,0.523604583,1.067480208,1.536610167,0.138260542,0.089483375
05-block1-n128-ckks,1,128,aligned,ckks,1,8,measured,128,3.284354583,128,,0.004328109032087468,1.4615629538534316e-05,0.0099675,0.079563583,0.525084083,1.010225584,1.518176084,0.139868625,0.090999875
05-block1-n128-ckks,1,128,mixed,ckks,1,9,measured,128,3.507565334,128,,0.00294691374216427,4.719808762621084e-05,0.008765458,0.083447459,0.55613125,1.08568575,1.630119166,0.143271792,0.092357
05-block1-n128-ckks,1,128,general,ckks,1,10,measured,128,3.593853792,128,,0.004688499021824555,1.6320733204290596e-05,0.011742042,0.079788959,0.60720075,1.154601291,1.59346775,0.145275041,0.093299875
05-block1-n128-ckks,1,128,aligned,ckks,1,11,measured,128,3.53110825,128,,0.000399883803765988,3.871702867819209e-05,0.013183292,0.084756458,0.671947333,1.081309333,1.55252275,0.134969167,0.090359333
06-block1-n128-tfhe-after,1,128,mixed,tfhe-after,1,0,warmup,128,2.797005458,128,39,,,,,,,,,
06-block1-n128-tfhe-after,1,128,general,tfhe-after,1,1,warmup,128,2.529759167,128,33,,,,,,,,,
06-block1-n128-tfhe-after,1,128,aligned,tfhe-after,1,2,warmup,128,2.529499583,128,27,,,,,,,,,
06-block1-n128-tfhe-after,1,128,mixed,tfhe-after,1,3,measured,128,2.719260292,128,41,,,,,,,,,
06-block1-n128-tfhe-after,1,128,general,tfhe-after,1,4,measured,128,2.529926625,128,35,,,,,,,,,
06-block1-n128-tfhe-after,1,128,aligned,tfhe-after,1,5,measured,128,2.7085255,128,29,,,,,,,,,
06-block1-n128-tfhe-after,1,128,mixed,tfhe-after,1,6,measured,128,3.019594167,128,42,,,,,,,,,
06-block1-n128-tfhe-after,1,128,general,tfhe-after,1,7,measured,128,2.568610084,128,36,,,,,,,,,
06-block1-n128-tfhe-after,1,128,aligned,tfhe-after,1,8,measured,128,2.651705708,128,30,,,,,,,,,
06-block1-n128-tfhe-after,1,128,mixed,tfhe-after,1,9,measured,128,2.781395875,128,43,,,,,,,,,
06-block1-n128-tfhe-after,1,128,general,tfhe-after,1,10,measured,128,2.869519792,128,37,,,,,,,,,
06-block1-n128-tfhe-after,1,128,aligned,tfhe-after,1,11,measured,128,2.612390708,128,31,,,,,,,,,
07-block2-n128-tfhe-before,2,128,aligned,tfhe-before,2,0,warmup,128,2.602402167,128,27,,,,,,,,,
07-block2-n128-tfhe-before,2,128,general,tfhe-before,2,1,warmup,128,2.530884959,128,33,,,,,,,,,
07-block2-n128-tfhe-before,2,128,mixed,tfhe-before,2,2,warmup,128,2.906668,128,39,,,,,,,,,
