arm,label,count,median_ns,q1_ns,q3_ns,selector_repaired,correct_outputs,observed_outputs
a28,A28,30,7786934396,7618387312.75,8017199947.5,False,45,45
a29,A29,30,7048674541.5,6974505521.25,7256627875.25,False,45,45
a33,A33,30,5959568333,5824777895.75,6060074041,False,45,45
a38,A38,30,5083640979.5,4973340812.75,5185004708.5,False,45,45
a66,A66,30,4399772479.5,4297651374.75,4483562656.25,False,45,45
r3,R3,30,3189590521,3089074375.25,3269179979.25,False,45,45
head_m,Head M*,30,2372766875.5,2292427718.25,2411086385.5,True,45,45
general,"Head
generale*",30,2400850583,2321517416.75,2450181521.5,True,45,45
cpu,"FFT +
CGU1*",30,2405880666.5,2327734125.5,2476512708.25,True,45,45
final,Finale*,30,1821339396,1771141583.75,1884647666,True,45,45
